pl_name,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_bmassprov,st_teff,st_rad,st_mass,sy_dist
Kepler-798 b,Transit,2016,13.71933369,0.1174,0.213,0.0198,M-R relationship,6224,1.29,1.19,972.274
Kepler-799 b,Transit,2016,133.4605235,0.5167,0.614,0.119,M-R relationship,5681,0.93,0.95,1509.084
Kepler-799 c,Transit,2021,15.19419956,0.1214,0.248,0.0256,M-R relationship,5588,1.59,1.03,1509.084
Kepler-8 b,Transit,2010,3.5224991,0.0474,1.416,0.59,Mass,6213,1.49,1.21,1021.87
Kepler-80 b,Transit,2012,7.05246,0.0648,0.238,0.0218,Mass,4540,0.68,0.73,369.451
Kepler-80 c,Transit,2012,9.52355,0.0792,0.244,0.02121,Mass,4540,0.68,0.73,369.451
Kepler-80 d,Transit,2014,3.07222,0.0372,0.136,0.02124,Mass,4540,0.68,0.73,369.451
Kepler-80 e,Transit,2014,4.64489,0.0491,0.143,0.01299,Mass,4540,0.68,0.73,369.451
Kepler-80 f,Transit,2016,0.9867873,0.0175,0.108,0.00606,M-R relationship,4540,0.68,0.73,369.451
Kepler-80 g,Transit,2017,14.64558,,0.101,0.00474,M-R relationship,4540,0.68,0.83,369.451
Kepler-800 b,Transit,2016,14.13176026,0.1106,0.254,0.0267,M-R relationship,5315,0.82,0.85,1019.26
Kepler-801 b,Transit,2016,11.41928253,0.0795,0.178,0.0147,M-R relationship,4435,0.63,0.67,440.426
Kepler-802 b,Transit,2016,40.0587473,0.2265,0.316,0.0386,M-R relationship,5507,0.9,0.93,780.585
Kepler-803 b,Transit,2016,50.28638192,0.2678,0.338,0.0434,M-R relationship,5919,1.12,1.05,639.771
Kepler-804 b,Transit,2016,14.37457351,0.1137,0.173,0.0139,M-R relationship,5817,1.05,1.01,649.65
Kepler-804 c,Transit,2016,9.65185017,0.0872,0.102,0.00489,M-R relationship,5817,1.05,1.01,649.65
Kepler-805 b,Transit,2016,30.8638931,0.1978,0.258,0.0274,M-R relationship,6112,1.65,1.19,638.49
Kepler-806 b,Transit,2016,8.09219642,0.0764,0.102,0.00489,M-R relationship,5770,1.16,0.99,361.896
Kepler-807 b,Transit,2016,117.9310878,0.4884,0.93,0.242,M-R relationship,5965,1.06,1.04,1492.95
Kepler-808 b,Transit,2016,0.63133235,0.0116,0.13,0.00859,M-R relationship,4653,0.71,0.76,321
Kepler-809 b,Transit,2016,55.63934,0.2901,0.269,0.0293,M-R relationship,5734,0.98,0.99,961.405
Kepler-81 b,Transit,2012,5.955,0.0522,0.216,0.054,Mass,4385,0.59,0.64,348.291
Kepler-81 c,Transit,2012,12.04,0.08347,0.211,0.014,Mass,4385,0.59,0.64,348.291
Kepler-81 d,Transit,2014,20.837846,0.128,0.108,0.00606,M-R relationship,4500,0.59,0.65,348.291
Kepler-810 b,Transit,2016,4.59725385,0.055,0.172,0.0138,M-R relationship,5803,1.04,1.03,1458.59
Kepler-811 b,Transit,2016,23.58447697,0.1583,0.241,0.0244,M-R relationship,5747,1.24,1.01,985.041
Kepler-812 b,Transit,2016,10.11716531,0.1024,0.317,0.0388,M-R relationship,6761,1.71,1.45,1482.74
Kepler-813 b,Transit,2016,19.12947337,0.1439,0.191,0.0164,M-R relationship,5743,0.93,0.95,840
Kepler-814 b,Transit,2016,6.1469851,0.0695,0.189,0.0162,M-R relationship,6162,1.22,1.15,2055.77
Kepler-815 b,Transit,2016,8.57503552,0.0888,0.367,0.0498,M-R relationship,5028,3.42,1.25,1259.28
Kepler-816 b,Transit,2016,10.50682565,0.0895,0.914,0.234,M-R relationship,5286,0.85,0.9,983.697
Kepler-817 b,Transit,2016,3.99010623,0.0493,0.806,0.189,M-R relationship,5861,1.03,1.03,1484.46
Kepler-818 b,Transit,2016,10.03538581,0.0886,0.456,0.072,M-R relationship,5638,0.92,0.94,925.037
Kepler-819 b,Transit,2016,33.1995648,0.1894,0.246,0.0253,M-R relationship,5279,0.81,0.86,664.306
Kepler-82 b,Transit,2012,26.44,0.1683,0.363,0.03823,Mass,5529,0.9,0.91,904.326
Kepler-82 c,Transit,2012,51.54,0.2626,0.476,0.04373,Mass,5529,0.9,0.91,904.326
Kepler-82 d,Transit,2014,2.382961,0.034,0.158,0.0119,M-R relationship,5428,0.95,0.96,904.326
Kepler-82 e,Transit,2014,5.902206,0.063,0.22,0.021,M-R relationship,5428,0.95,0.96,904.326
Kepler-820 b,Transit,2016,127.8338098,0.5829,0.543,0.097,M-R relationship,6260,1.36,1.23,1387.2
Kepler-821 b,Transit,2016,1.92279873,0.029,0.117,0.00714,M-R relationship,5191,0.8,0.84,614.571
Kepler-822 b,Transit,2016,3.22296927,0.0412,0.158,0.0119,M-R relationship,5928,1.08,1.06,860.391
Kepler-823 b,Transit,2016,4.16809082,0.0507,0.14,0.00972,M-R relationship,5643,0.96,0.98,1389.27
Kepler-824 b,Transit,2016,4.51436633,0.055,0.167,0.0131,M-R relationship,6035,1.22,1.15,1201.4
Kepler-825 b,Transit,2016,3.77360059,0.0453,0.136,0.0093,M-R relationship,5976,1.08,1.03,807.85
Kepler-825 c,Transit,2016,8.1818246,0.0759,0.164,0.0127,M-R relationship,5976,1.08,1.03,807.85
Kepler-826 b,Transit,2016,4.48758907,0.0528,0.112,0.0066,M-R relationship,6079,1.15,1.05,779.596
Kepler-827 b,Transit,2016,51.92927591,0.2742,0.502,0.0849,M-R relationship,5602,0.91,0.93,2046.68
Kepler-828 b,Transit,2016,0.56785714,0.0125,0.135,0.00909,M-R relationship,5039,0.77,0.81,575.322
Kepler-829 b,Transit,2016,6.88337562,0.0678,0.188,0.016,M-R relationship,5698,0.97,0.98,1073.76
Kepler-83 b,Transit,2012,9.77,0.07295,0.252,0.132,Mass,4082,0.61,0.66,400.409
Kepler-83 c,Transit,2012,20.09,0.11796,0.211,0.036,Mass,4082,0.61,0.66,400.409
Kepler-83 d,Transit,2014,5.169796,0.051,0.173,0.077,Mass,4648,0.59,0.58,400.409
Kepler-830 b,Transit,2016,11.29695137,0.1033,0.152,0.0111,M-R relationship,6037,1.11,1.07,1122
Kepler-831 b,Transit,2016,5.62153941,0.0603,0.113,0.00678,M-R relationship,5732,0.97,0.99,593.54
Kepler-832 b,Transit,2016,7.1396941,0.075,0.184,0.0154,M-R relationship,5596,0.9,0.92,1688.12
Kepler-833 b,Transit,2016,18.7546998,0.1139,0.18,0.0149,M-R relationship,4339,0.62,0.64,467.37
Kepler-834 b,Transit,2016,13.32388301,0.0862,0.18,0.0149,M-R relationship,4554,0.66,0.7,633.937
Kepler-835 b,Transit,2016,11.41909375,0.107,0.249,0.0258,M-R relationship,5954,1.11,1.08,2406.33
Kepler-836 b,Transit,2016,11.36112327,0.1013,0.244,0.0249,M-R relationship,5895,1.04,1.03,980.035
Kepler-837 b,Transit,2016,16.56059504,0.1144,0.228,0.0223,M-R relationship,5403,0.81,0.85,901.907
Kepler-838 b,Transit,2016,15.74957994,0.1266,0.244,0.0249,M-R relationship,5770,0.96,0.98,1104.04
Kepler-839 b,Transit,2016,37.8144514,0.2341,0.229,0.0224,M-R relationship,6058,1.31,1.22,944.561
Kepler-84 b,Transit,2012,8.726,0.0827,0.199,0.126,Mass,6039,1.43,1,1023.9
Kepler-84 c,Transit,2012,12.883,0.1072,0.211,0.064,Mass,6039,1.43,1,1023.9
Kepler-84 d,Transit,2014,4.224537,0.052,0.123,0.0078,M-R relationship,6031,1.17,1.06,1023.9
Kepler-84 e,Transit,2014,27.434389,0.181,0.232,0.0229,M-R relationship,6031,1.17,1.06,1023.9
Kepler-84 f,Transit,2014,44.552169,0.25,0.196,0.0172,M-R relationship,6031,1.17,1.06,1023.9
Kepler-841 b,Transit,2016,124.4198398,0.479,0.467,0.0749,M-R relationship,5324,0.81,0.85,998.961
Kepler-842 b,Transit,2016,1.21956827,0.0204,0.143,0.01,M-R relationship,4848,0.73,0.78,532.726
Kepler-843 b,Transit,2016,2.05387982,0.0313,0.231,0.0227,M-R relationship,5830,1.03,1.02,1165.66
Kepler-844 b,Transit,2016,2.61302086,0.0298,0.15,0.0109,M-R relationship,4128,0.57,0.59,431.776
Kepler-845 b,Transit,2016,0.92785982,0.017,0.182,0.0152,M-R relationship,4913,0.75,0.79,431.051
Kepler-846 b,Transit,2016,19.80792185,0.1399,0.221,0.0211,M-R relationship,5579,0.91,0.94,1127.12
Kepler-847 b,Transit,2016,2.3432319,0.0315,0.105,0.00553,M-R relationship,4940,0.77,0.83,513.103
Kepler-848 b,Transit,2016,6.91134416,0.072,0.152,0.0111,M-R relationship,5695,1.2,1.01,1378.47
Kepler-849 b,Transit,2016,394.6244904,1.1088,0.637,0.127,M-R relationship,6059,1.64,1.23,822.134
Kepler-85 b,Transit,2012,8.306,0.0766,0.176,0.0143,M-R relationship,5499,1.24,0.92,765.025
Kepler-85 c,Transit,2012,12.513,0.1007,0.194,0.066,Mass,5499,1.24,0.92,765.025
Kepler-85 d,Transit,2014,17.91323,0.13,0.107,0.00588,M-R relationship,5436,0.89,0.87,765.025
Kepler-85 e,Transit,2014,25.216751,0.163,0.113,0.00189,Mass,5436,0.89,0.92,765.025
Kepler-850 b,Transit,2016,7.19303878,0.0744,0.159,0.012,M-R relationship,5932,1.09,1.06,1661.28
Kepler-851 b,Transit,2016,8.50699658,0.0802,0.15,0.0109,M-R relationship,5455,0.85,0.89,839.255
Kepler-852 b,Transit,2016,44.9309804,0.2654,0.227,0.022,M-R relationship,6100,1.16,1.19,1619.03
Kepler-853 b,Transit,2016,7.16892463,0.0779,0.151,0.011,M-R relationship,6350,1.55,1.3,568.676
Kepler-855 b,Transit,2016,7.8866311,0.0762,0.745,0.166,M-R relationship,5835,1.03,1.03,1506.58
Kepler-856 b,Transit,2016,8.02768059,0.0787,0.83,0.199,M-R relationship,5535,0.93,0.96,1351.17
Kepler-857 b,Transit,2016,85.35129427,0.3751,0.607,0.117,M-R relationship,5773,0.99,0.99,983.502
Kepler-858 b,Transit,2016,76.13602028,0.3403,0.434,0.0664,M-R relationship,5653,0.91,0.96,298.532
Kepler-859 b,Transit,2016,20.38177573,0.1345,0.276,0.0307,M-R relationship,5020,0.77,0.81,839.903
Kepler-860 b,Transit,2016,5.10137945,0.058,0.289,0.0332,M-R relationship,5836,1.06,1.04,1056.36
Kepler-861 b,Transit,2016,3.94963138,0.0463,0.203,0.0183,M-R relationship,5047,0.78,0.82,850.327
Kepler-862 b,Transit,2016,3.14866453,0.039,0.197,0.0174,M-R relationship,5333,0.84,0.88,1039.03
Kepler-863 b,Transit,2016,15.59461874,0.122,0.259,0.0275,M-R relationship,5678,0.95,0.96,1499.66
Kepler-864 b,Transit,2016,5.83376092,0.0687,0.214,0.02,M-R relationship,5754,1,1,2022.9
Kepler-865 b,Transit,2016,14.16399294,0.1057,0.222,0.0213,M-R relationship,5570,0.92,0.93,586.137
Kepler-866 b,Transit,2016,2.61703254,0.0331,0.145,0.0104,M-R relationship,4751,0.71,0.75,646.667
Kepler-867 b,Transit,2016,150.242127,0.5375,0.414,0.0612,M-R relationship,5541,0.91,0.92,1195.54
Kepler-868 b,Transit,2016,5.03251791,0.0575,0.183,0.0153,M-R relationship,5614,0.89,0.93,1593.13
Kepler-869 b,Transit,2016,40.4287755,0.2244,0.322,0.0399,M-R relationship,5664,0.95,0.97,939.455
Kepler-87 b,Transit,2013,114.73635,0.481,1.204,1.02,Mass,5600,1.82,1.1,1232.9
Kepler-87 c,Transit,2013,191.2318,0.676,0.548,0.02,Mass,5600,1.82,1.1,1232.9
Kepler-870 b,Transit,2016,21.3587621,0.1539,0.248,0.0256,M-R relationship,5857,1.02,1.01,1259.46
Kepler-871 b,Transit,2016,22.0459018,0.1572,0.334,0.0424,M-R relationship,5993,1.14,1.11,1976.05
Kepler-872 b,Transit,2016,2.57885507,0.0362,0.178,0.0145,M-R relationship,5902,1.08,1.05,879.683
Kepler-873 b,Transit,2016,20.5533844,0.1542,0.335,0.0426,M-R relationship,6163,1.27,1.18,1182.22
Kepler-874 b,Transit,2016,40.0686727,0.2234,0.352,0.0463,M-R relationship,6020,1.13,1.09,1082.16
Kepler-875 b,Transit,2016,27.5073799,0.1771,0.259,0.0275,M-R relationship,5958,1.11,1.06,1242.62
Kepler-876 b,Transit,2016,5.14438011,0.0549,0.128,0.00829,M-R relationship,5060,0.77,0.81,820.913
Kepler-877 b,Transit,2016,18.45847097,0.1301,0.189,0.0162,M-R relationship,5261,0.81,0.85,602.176
Kepler-878 b,Transit,2016,25.9422033,0.165,0.172,0.0138,M-R relationship,5044,0.77,0.81,791.625
Kepler-879 b,Transit,2016,33.3855938,0.2012,0.229,0.0224,M-R relationship,5792,1.02,1.02,802.672
Kepler-880 b,Transit,2016,7.71468975,0.0915,0.237,0.0238,M-R relationship,6761,1.74,1.46,601.324
Kepler-881 b,Transit,2016,4.44448017,0.0552,0.159,0.012,M-R relationship,5961,1.09,1.06,1375.18
Kepler-882 b,Transit,2016,3.98953967,0.0449,0.11,0.00642,M-R relationship,5476,0.87,0.9,504.605
Kepler-883 b,Transit,2016,12.98495573,0.1055,0.159,0.012,M-R relationship,6116,1.09,1.06,627.455
Kepler-884 b,Transit,2016,5.69919514,0.0622,0.11,0.00642,M-R relationship,5715,0.94,1,476.733
Kepler-885 b,Transit,2016,18.11472949,0.1432,0.223,0.0214,M-R relationship,6187,1.35,1.21,651.318
Kepler-886 b,Transit,2016,6.24146367,0.067,0.136,0.0092,M-R relationship,6098,1.16,1.1,711.297
Kepler-887 b,Transit,2016,20.42228798,0.1536,0.164,0.0127,M-R relationship,6194,1.29,1.19,886.588
Kepler-887 c,Transit,2016,7.63846023,0.0797,0.101,0.00474,M-R relationship,6194,1.29,1.19,886.588
Kepler-888 b,Transit,2016,70.6979061,0.328,0.157,0.0118,M-R relationship,5875,0.9,0.97,420.817
Kepler-889 b,Transit,2016,3.744439,0.0492,0.097,0.00416,M-R relationship,5961,1.25,1.14,598.313
Kepler-890 b,Transit,2016,52.75875577,0.2944,0.793,0.184,M-R relationship,5954,1.13,1.09,1712.12
Kepler-891 b,Transit,2016,53.44945593,0.2881,0.572,0.106,M-R relationship,5887,1.07,1.06,2340.58
Kepler-892 b,Transit,2016,13.7521072,0.1015,0.251,0.0261,M-R relationship,4747,0.72,0.75,570.727
Kepler-893 b,Transit,2016,6.33855761,0.0699,0.27,0.0297,M-R relationship,5820,0.99,1,1285.59
Kepler-894 b,Transit,2016,9.803224,0.0916,0.248,0.0256,M-R relationship,5603,0.85,0.87,1162.91
Kepler-895 b,Transit,2016,2.80624233,0.0328,0.137,0.0094,M-R relationship,4315,0.61,0.65,540.134
Kepler-896 b,Transit,2016,144.547396,0.5164,0.226,0.0218,M-R relationship,5262,0.81,0.84,2334.93
Kepler-897 b,Transit,2016,8.0472642,0.077,0.213,0.0198,M-R relationship,5839,1.04,1.03,1519.25
Kepler-898 b,Transit,2016,5.8706191,0.0545,0.133,0.00889,M-R relationship,4223,0.62,0.65,484.891
Kepler-899 b,Transit,2016,19.17891293,0.1392,0.239,0.0241,M-R relationship,5595,0.91,0.93,1246.43
Kepler-9 b,Transit,2010,19.23891,0.143,0.74,0.13655,Mass,5774,0.96,1.02,628.257
Kepler-9 c,Transit,2010,38.9853,0.227,0.721,0.09408,Mass,5774,0.96,1.02,628.257
Kepler-9 d,Transit,2010,1.592851,0.0273,0.146,0.0105,M-R relationship,5777,1.02,1.07,628.257
Kepler-90 i,Transit,2017,14.44912,,0.118,0.00724,M-R relationship,6015,1.29,1.12,848.254
Kepler-900 b,Transit,2016,6.9913086,0.0679,0.186,0.0157,M-R relationship,4836,0.73,0.78,487.525
Kepler-901 b,Transit,2016,3.51749439,0.0378,0.122,0.00771,M-R relationship,4184,0.57,0.59,253.867
Kepler-902 b,Transit,2016,40.1099547,0.223,0.227,0.022,M-R relationship,5647,0.93,0.95,1165.34
Kepler-903 b,Transit,2016,10.3507721,0.0907,0.179,0.0148,M-R relationship,5682,0.97,0.98,1369.24
Kepler-903 c,Transit,2016,62.9228557,0.302,0.226,0.0218,M-R relationship,5682,0.97,0.98,1369.24
Kepler-904 b,Transit,2016,3.02166863,0.0417,0.158,0.0119,M-R relationship,6160,1.25,1.16,978.125
Kepler-905 b,Transit,2016,5.08274652,0.0572,0.126,0.00809,M-R relationship,5461,0.86,0.95,529.268
Kepler-906 b,Transit,2016,41.6979976,0.2359,0.188,0.016,M-R relationship,6035,1.02,1.06,757.791
Kepler-907 b,Transit,2016,15.86621821,0.1225,0.107,0.00588,M-R relationship,6106,1.38,1.08,352
Kepler-908 b,Transit,2016,1.34059747,0.0247,0.109,0.00624,M-R relationship,5973,1.12,1.11,290.843
Kepler-909 b,Transit,2016,13.93290318,0.1175,0.131,0.00869,M-R relationship,6154,1.23,1.17,309.596
Kepler-91 b,Transit,2013,6.24658,0.0731,1.367,0.81,Mass,4550,6.3,1.31,1294.69
Kepler-910 b,Transit,2016,2.36436901,0.0382,0.073,0.0015,M-R relationship,6230,1.5,1.26,400.289
Kepler-911 b,Transit,2016,20.310501,0.1549,0.232,0.0229,M-R relationship,6112,1.99,1.34,556.168
Kepler-912 b,Transit,2016,2.53475627,0.0339,0.25,0.0259,M-R relationship,5998,1.11,1.07,2004.72
Kepler-913 b,Transit,2016,10.29672521,0.1009,0.184,0.0154,M-R relationship,4687,0.61,0.63,991.618
Kepler-913 c,Transit,2021,5.93911982,0.0699,0.344,0.0447,M-R relationship,6068,1.8,1.29,991.618
Kepler-914 b,Transit,2016,4.40966548,0.0544,0.123,0.0078,M-R relationship,5877,1.15,1.1,753.723
Kepler-915 b,Transit,2016,4.59489604,0.0566,0.134,0.00899,M-R relationship,6173,1.38,1.21,849.036
Kepler-916 b,Transit,2016,32.2968798,0.1885,0.157,0.0118,M-R relationship,5248,0.81,0.85,830.712
Kepler-917 b,Transit,2016,2.97041437,0.0378,0.17,0.0136,M-R relationship,5418,0.76,0.8,3460.51
Kepler-918 b,Transit,2016,4.85386933,0.0569,0.155,0.0116,M-R relationship,6028,1.14,1.11,1025.03
Kepler-919 b,Transit,2016,11.04603384,0.0981,0.201,0.0179,M-R relationship,6113,1.21,1.15,1119.87
Kepler-92 b,Transit,2013,13.749,0.1174,0.313,0.202,Mass,5883,1.7,1.21,477.992
Kepler-92 c,Transit,2013,26.723,0.1829,0.232,0.019,Mass,5883,1.7,1.21,477.992
Kepler-92 d,Transit,2015,49.3568,0.2754,0.184,0.0155,M-R relationship,5904.34,1.82,1.07,477.992
Kepler-920 b,Transit,2016,6.53192704,0.065,0.216,0.0203,M-R relationship,5403,0.85,0.89,1001.68
Kepler-920 c,Transit,2016,100.8274113,0.4029,0.339,0.0436,M-R relationship,5403,0.85,0.89,1001.68
Kepler-921 b,Transit,2016,51.300634,0.2716,0.256,0.0271,M-R relationship,5663,0.91,0.93,934.49
Kepler-922 b,Transit,2016,0.93846683,0.0182,0.127,0.00819,M-R relationship,5671,0.93,0.95,536.323
Kepler-923 b,Transit,2016,6.93366476,0.0715,0.123,0.0078,M-R relationship,5988,1.26,1.11,1000.28
Kepler-924 b,Transit,2016,61.0370117,0.3359,0.274,0.0303,M-R relationship,6167,1.23,1.14,1053.04
Kepler-925 b,Transit,2016,33.8678531,0.1805,0.209,0.0191,M-R relationship,4673,0.72,0.77,611.115
Kepler-926 b,Transit,2016,52.0688601,0.2739,0.206,0.0187,M-R relationship,5806,1.01,1.01,921.361
Kepler-927 b,Transit,2016,9.1149903,0.0866,0.153,0.0113,M-R relationship,5743,0.99,0.99,831.685
Kepler-928 b,Transit,2016,3.9324613,0.0444,0.142,0.00993,M-R relationship,4700,0.7,0.73,508.809
Kepler-929 b,Transit,2016,0.92103214,0.0192,0.099,0.00444,M-R relationship,5869,1.02,1.01,1311.23
Kepler-93 b,Transit,2014,4.72674,0.053,0.14,0.0143,Mass,5669,0.98,1.09,95.9115
Kepler-930 b,Transit,2016,71.4517775,0.3475,0.19,0.0163,M-R relationship,6335,1.4,1.25,848.396
Kepler-931 b,Transit,2016,8.03755877,0.0719,0.119,0.00733,M-R relationship,5241,0.81,0.86,490
Kepler-932 b,Transit,2016,1.9214374,0.0279,0.122,0.00771,M-R relationship,5331,0.84,0.87,465.612
Kepler-933 b,Transit,2016,14.20443009,0.1041,0.219,0.0208,M-R relationship,5346,0.84,0.87,1017.2
Kepler-934 b,Transit,2016,55.6738309,0.2658,0.186,0.0158,M-R relationship,5001,0.77,0.81,608.738
Kepler-935 b,Transit,2016,4.88083852,0.0527,0.12,0.00752,M-R relationship,4830,0.73,0.78,471.782
Kepler-936 b,Transit,2016,10.56134221,0.0954,0.129,0.00849,M-R relationship,5482,0.89,0.92,823.399
Kepler-937 b,Transit,2016,67.668827,0.3214,0.332,0.042,M-R relationship,6095,1.22,1.15,1571.46
Kepler-937 c,Transit,2016,153.343364,0.5545,0.238,0.0239,M-R relationship,6095,1.22,1.15,1571.46
Kepler-938 b,Transit,2016,52.6298417,0.2689,0.198,0.0175,M-R relationship,5533,0.89,0.92,1182.05
Kepler-939 b,Transit,2016,14.878296,0.1153,0.156,0.0117,M-R relationship,5471,0.85,0.88,2093.62
Kepler-94 b,Transit,2014,2.50806,0.03106,0.313,0.034,Mass,4781,0.76,0.81,191.904
Kepler-940 b,Transit,2016,59.6225257,0.3059,0.298,0.035,M-R relationship,5769,0.96,0.97,1260.78
Kepler-941 b,Transit,2016,17.42395198,0.1311,0.275,0.0305,M-R relationship,5539,0.86,0.89,1088.36
Kepler-942 b,Transit,2016,44.96417488,0.2298,0.19,0.0163,M-R relationship,4861,0.75,0.81,216.354
Kepler-943 b,Transit,2016,49.7701438,0.2559,0.529,0.0928,M-R relationship,5612,0.91,0.93,2300.53
Kepler-944 b,Transit,2016,43.3167737,0.2288,0.235,0.0233,M-R relationship,5409,0.83,0.86,1349.43
Kepler-945 b,Transit,2016,31.0033814,0.2037,0.235,0.0233,M-R relationship,5718,0.97,0.97,1651.25
Kepler-946 b,Transit,2016,11.79162572,0.1002,0.172,0.0138,M-R relationship,5665,0.93,0.94,1137.29
Kepler-947 b,Transit,2016,26.9644317,0.1773,0.203,0.0183,M-R relationship,5508,0.87,0.9,1730.78
Kepler-948 b,Transit,2016,7.76846622,0.0749,0.165,0.0128,M-R relationship,5679,0.94,0.96,868.017
Kepler-949 b,Transit,2016,8.6893073,0.0774,0.26,0.0277,M-R relationship,5403,0.86,0.89,486.105
Kepler-95 b,Transit,2014,11.5231,0.1017,0.305,0.041,Mass,5699,1.41,1.08,445.656
Kepler-950 b,Transit,2016,98.7180406,0.3982,0.801,0.188,M-R relationship,5857,1.02,1.02,2161.6
Kepler-951 b,Transit,2016,71.52530845,0.3091,0.499,0.0839,M-R relationship,4834,0.73,0.77,382.509
Kepler-952 b,Transit,2016,130.3546919,0.5183,0.682,0.143,M-R relationship,5730,0.99,1,1304.25
Kepler-953 b,Transit,2016,88.40655258,0.392,0.376,0.0519,M-R relationship,5416,0.99,0.95,258.893
Kepler-953 c,Transit,2016,9.10967112,0.0862,0.106,0.0057,M-R relationship,5416,0.99,0.95,258.893
Kepler-954 b,Transit,2016,16.78176602,0.118,0.207,0.0189,M-R relationship,4990,0.76,0.82,215.814
Kepler-955 b,Transit,2016,14.53244172,0.1083,0.279,0.0313,M-R relationship,5350,0.84,0.89,550.383
Kepler-956 b,Transit,2016,5.24867263,0.0596,0.268,0.0292,M-R relationship,6040,1.15,1.1,544.939
Kepler-957 b,Transit,2016,5.90741354,0.0559,0.491,0.0816,M-R relationship,4963,0.75,0.81,824.688
Kepler-958 b,Transit,2016,9.7678805,0.0852,0.184,0.0154,M-R relationship,5421,0.86,0.91,449.773
Kepler-959 b,Transit,2016,14.80074836,0.1633,0.391,0.0555,M-R relationship,7005,2.01,1.6,807.729
Kepler-96 b,Transit,2014,16.2385,0.1235,0.238,0.027,Mass,5690,1.02,1,122.881
Kepler-960 b,Transit,2016,3.12686223,0.0414,0.204,0.0184,M-R relationship,4755,0.72,0.77,284.916
Kepler-961 b,Transit,2016,16.87727414,0.1245,0.227,0.0221,M-R relationship,5582,0.9,0.96,574.314
Kepler-962 b,Transit,2016,12.05707239,0.0984,0.176,0.0143,M-R relationship,5478,0.86,0.93,411.486
Kepler-963 b,Transit,2016,9.97683705,0.0849,0.237,0.0238,M-R relationship,5461,0.87,0.91,771.494
Kepler-964 b,Transit,2016,13.5225106,0.1063,0.189,0.0162,M-R relationship,5427,0.84,0.93,454.626
Kepler-965 b,Transit,2016,134.2527298,0.512,0.302,0.0357,M-R relationship,5886,1.15,1.05,582.828
Kepler-966 b,Transit,2016,99.747622,0.3907,0.368,0.0502,M-R relationship,5840,1.02,1.02,1027.8
Kepler-967 b,Transit,2016,13.22713379,0.1027,0.21,0.0193,M-R relationship,5178,0.8,0.84,568.546
Kepler-967 c,Transit,2016,198.7112502,0.6253,0.326,0.0407,M-R relationship,5178,0.8,0.84,568.546
Kepler-968 b,Transit,2016,3.69298373,0.0389,0.178,0.0147,M-R relationship,4598,0.7,0.76,290.324
Kepler-968 c,Transit,2016,5.70940492,0.052,0.151,0.011,M-R relationship,4598,0.7,0.76,290.324
Kepler-969 b,Transit,2016,34.1731714,0.2027,0.185,0.0155,M-R relationship,5214,0.82,0.92,390.354
Kepler-969 c,Transit,2016,1.6829346,0.0272,0.088,0.00295,M-R relationship,5214,0.82,0.92,390.354
Kepler-97 b,Transit,2014,2.58664,0.0356,0.132,0.011,Mass,5779,0.98,0.94,400.907
Kepler-970 b,Transit,2016,16.73652231,0.1107,0.247,0.0255,M-R relationship,4511,0.67,0.7,331.545
Kepler-971 b,Transit,2016,9.59070716,0.0827,0.19,0.0163,M-R relationship,5431,0.85,0.88,338.522
Kepler-972 b,Transit,2016,7.03932553,0.0734,0.415,0.0614,M-R relationship,6146,1.22,1.15,1198.03
Kepler-973 b,Transit,2016,49.6077331,0.2508,0.175,0.0142,M-R relationship,5213,0.78,0.86,328.52
Kepler-974 b,Transit,2016,4.19449651,0.0419,0.14,0.00972,M-R relationship,3687,0.5,0.52,134.311
Kepler-975 b,Transit,2016,1.97034246,0.0303,0.132,0.00879,M-R relationship,4897,0.75,0.8,426.088
Kepler-976 b,Transit,2016,105.9564148,0.4217,0.353,0.0467,M-R relationship,5232,0.83,0.87,1012.41
Kepler-977 b,Transit,2016,26.85328322,0.162,0.234,0.0232,M-R relationship,5315,0.83,0.87,568.751
Kepler-978 b,Transit,2016,49.6221509,0.2726,0.267,0.029,M-R relationship,6002,1.09,1.07,682.522
Kepler-979 b,Transit,2016,8.0880135,0.0753,0.243,0.0247,M-R relationship,5310,0.83,0.87,576.503
Kepler-98 b,Transit,2014,1.54168,0.0256,0.178,0.011,Mass,5539,1.11,0.99,350.315
Kepler-980 b,Transit,2016,11.55102504,0.1005,0.238,0.0239,M-R relationship,5935,1.06,1.05,961.468
Kepler-981 b,Transit,2016,4.46975774,0.0535,0.206,0.0187,M-R relationship,5718,0.96,0.98,878.082
Kepler-982 b,Transit,2016,15.7738221,0.1291,0.201,0.0179,M-R relationship,6139,1.29,1.16,801.479
Kepler-983 b,Transit,2016,60.0855082,0.3148,0.211,0.0194,M-R relationship,6052,1.08,1.13,714.437
Kepler-984 b,Transit,2016,43.0342272,0.2327,0.189,0.0162,M-R relationship,5610,0.93,0.96,460.188
Kepler-985 b,Transit,2016,116.331901,0.4451,0.266,0.0288,M-R relationship,5434,0.85,0.91,679.361
Kepler-986 b,Transit,2016,56.4349938,0.276,0.211,0.0194,M-R relationship,5642,0.98,0.96,548.364
Kepler-987 b,Transit,2016,105.3033148,0.4238,0.291,0.0336,M-R relationship,5637,0.91,0.97,914.126
Kepler-988 b,Transit,2016,17.76080053,0.1085,0.185,0.0155,M-R relationship,4005,0.53,0.55,304.889
