Formulation,RemovedM,dGtotal,dG1,Z,Hybrid,OS,BV_vac,Charge_vac,Mag_vac,Mag_env,Mag_inst,BV_Oxygen,Total_d_electrons,d_up_tot,d_down_tot,d_diff,t2g,eg,band_center_diff,instabilityindex,Ionicradius
NiMnAl,Ni(6),1.027765536,4.078041596,28,0.395900544,2.2,2.412858237,15.0428,1.2618,-1.4895,-2.7513,2.21184986,8.2909,4.6849,3.606,1.0789,4.5741,3.7169,4.28235927,0.495149385,69
NiMnAl,Ni(7),0.855179637,3.905455697,28,0.366548951,2.1,2.712130447,15.038,0.8041,1.7839,0.9798,2.110499025,8.2939,4.7079,3.586,1.1219,4.575,3.7189,3.812055182,0.495149385,56
NiMnAl,Ni(8),1.478617621,4.528893681,28,0.366548951,2.1,2.712130447,15.038,0.8041,1.7839,0.9798,2.096749462,8.2939,4.7079,3.586,1.1219,4.575,3.7189,3.812055182,0.495149385,56
NiMnAl,Ni(9),1.763383453,4.813659512,28,0.693710694,2.6,2.790731386,15.0403,0.7084,-2.5501,-3.2585,2.21184986,8.2434,4.4471,3.7963,0.6508,4.5867,3.6567,4.689193329,0.495149385,56
MnAlNi,Al(1),0.73526203,8.340538089,13,1.045073662,3,2.922187111,0.4101,-0.0064,-7.9049,-7.8985,2.283054158,0,0,0,0,0,0,3.476240855,0.417982742,53.5
MnAlNi,Ni(2),0.105983642,3.156259701,28,0.514544995,2.2,2.241132423,15.0525,1.3756,-9.5671,-10.9427,2.349853373,8.3051,4.6983,3.6068,1.0915,4.6659,3.6391,5.346764306,0.417982742,69
MnAlNi,Mn(3),-0.351049933,4.590226127,25,1.064762772,2.8,3.531384124,11.6514,-1.8221,-4.3927,-2.5706,2.446037495,5.4272,1.6335,3.7937,2.1602,2.9801,2.447,5.415675353,0.417982742,53
MnAlNi,Mn(4),-0.962800282,3.978475778,25,1.064762772,2.8,3.531384124,11.6514,-1.8221,-4.3927,-2.5706,2.349853373,5.4272,1.6335,3.7937,2.1602,2.9801,2.447,5.415675353,0.417982742,53
MnAlNi,Mn(5),-0.837313908,4.103962151,25,0.968172893,2.6,3.410051337,11.5439,-1.682,-7.2968,-5.6148,2.446037495,5.4498,1.7686,3.6812,1.9126,2.9999,2.45,5.290282847,0.417982742,58
MnAlNi,Mn(6),-0.662649807,4.278626253,25,0.968172893,2.6,3.410051337,11.5439,-1.682,-7.2968,-5.6148,2.283054158,5.4498,1.7686,3.6812,1.9126,2.9999,2.45,5.290282847,0.417982742,58
MnAlNi,Mn(7),-0.138166473,4.803109586,25,0.937331903,2.6,3.453257452,11.6409,-1.6691,-5.639,-3.9699,2.446037495,5.4114,1.6745,3.7369,2.0624,2.9734,2.4379,4.939595666,0.417982742,58
MnAlNi,Mn(8),-0.653812362,4.287463698,25,0.937331903,2.6,3.453257452,11.6409,-1.6691,-5.639,-3.9699,2.349853373,5.4114,1.6745,3.7369,2.0624,2.9734,2.4379,4.939595666,0.417982742,58
AlNiMn,Ni(1),2.523047468,5.573323528,28,0.287669297,2,2.163028292,15.4231,1.3088,-2.333,-3.6418,2.15063633,8.3737,4.8463,3.5274,1.3189,4.6968,3.677,3.706936719,0.417464437,69
AlNiMn,Mn(2),3.934600329,8.875876389,25,1.734809214,3.9,3.84805483,11.4687,-2.3173,1.2885,3.6058,2.173915675,5.1759,1.2274,3.9485,2.7211,2.9821,2.1939,4.6002609,0.417464437,53
AlNiMn,Al(3),2.254713872,9.859989931,13,1.207089237,3,2.924120617,0.3614,-0.0031,-4.6435,-4.6404,2.085419903,0,0,0,0,0,0,3.170153795,0.417464437,53.5
AlNiMn,Al(4),2.903984791,10.50926085,13,1.207089237,3,2.924120617,0.3614,-0.0031,-4.6435,-4.6404,2.173915675,0,0,0,0,0,0,3.170153795,0.417464437,53.5
AlNiMn,Al(5),2.660922464,10.26619852,13,1.198612534,3,2.857612571,0.3591,-0.0008,2.6064,2.6072,2.085419903,0,0,0,0,0,0,4.017945488,0.417464437,53.5
AlNiMn,Al(6),2.420752369,10.02602843,13,1.198612534,3,2.857612571,0.3591,-0.0008,2.6064,2.6072,2.15063633,0,0,0,0,0,0,4.017945488,0.417464437,53.5
AlNiMn,Al(7),2.735466383,10.34074244,13,1.187940428,3,2.908481165,0.3642,-0.0007,-1.0163,-1.0156,2.085419903,0,0,0,0,0,0,3.663966821,0.417464437,53.5
AlNiMn,Al(8),2.643170634,10.24844669,13,1.187940428,3,2.908481165,0.3642,-0.0007,-1.0163,-1.0156,2.173915675,0,0,0,0,0,0,3.663966821,0.417464437,53.5
AlNiMn,Al(9),2.399442921,10.00471898,13,1.131193713,3,2.886478955,0.3591,-0.0067,-2.0209,-2.0142,2.15063633,0,0,0,0,0,0,4.390908991,0.417464437,53.5
NiMnFe,Mn(1),2.492842057,7.434118116,25,1.488096116,3.6,3.800910166,11.5879,2.406,4.3758,1.9698,2.205891148,5.0703,3.901,1.1693,2.7317,2.8999,2.1704,3.163293824,0.491425033,53
NiMnFe,Fe(2),2.464489745,5.860765805,26,1.247528397,3.6,4.125326403,12.6208,-1.3876,7.5546,8.9422,2.128031072,5.7911,1.9146,3.8765,1.9619,3.2538,2.5373,3.240373185,0.491425033,58.5
NiMnFe,Ni(3),0.926266621,3.97654268,28,0.476852318,2.4,2.566708514,15.0732,0.9803,1.503,0.5227,2.11357441,8.1734,4.5421,3.6314,0.9107,4.6756,3.4979,4.011438059,0.491425033,56
NiMnFe,Ni(4),0.92905504,3.9793311,28,0.476852318,2.4,2.566708514,15.0732,0.9803,1.503,0.5227,2.128031072,8.1734,4.5421,3.6314,0.9107,4.6756,3.4979,4.011438059,0.491425033,56
